replicate,condition,pre_primary,post_primary,improvement,pre_lines_cleared,post_lines_cleared,lines_improvement,pre_elo,training_steps,tutorial,pre_hole_avoidance,pre_stack_height_management,pre_surface_smoothness,pre_line_clearing_efficiency,post_hole_avoidance,post_stack_height_management,post_surface_smoothness,post_line_clearing_efficiency
12,rating_only,29.0,30.833333333333332,1.8333333333333321,0.3333333333333333,0.5,0.16666666666666669,1500.0,40,rating_tier_board,-39.12265834523899,-13.404364989848862,-18.50579157998513,0.010426849136526556,-35.94809870184633,-13.335983102918586,-17.356632330351495,0.014705882352941176
12,rating_history,29.0,29.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,1500.0,40,height_management,-39.12265834523899,-13.404364989848862,-18.50579157998513,0.010426849136526556,-36.74443339227822,-13.426115479348237,-18.3638820470717,0.0
13,control,28.333333333333332,26.333333333333332,-2.0,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,ordinary_practice,-33.48412698412698,-12.777821869488536,-18.8413139329806,0.0,-39.9193220359887,-13.859137282470616,-20.72975135975136,0.005050505050505051
13,rating_only,28.333333333333332,26.333333333333332,-2.0,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-33.48412698412698,-12.777821869488536,-18.8413139329806,0.0,-39.80821092487759,-13.859137282470616,-20.761497391497393,0.005050505050505051
13,rating_history,28.333333333333332,27.666666666666668,-0.6666666666666643,0.0,0.0,0.0,1500.0,40,hole_management,-33.48412698412698,-12.777821869488536,-18.8413139329806,0.0,-37.52173265219242,-12.963035030103995,-18.433906829653957,0.0
14,control,26.5,25.0,-1.5,0.0,0.0,0.0,1500.0,40,ordinary_practice,-41.17545109211776,-13.244301994301996,-16.716761633428302,0.0,-42.72807834991743,-13.342420085236178,-16.344198489888146,0.0
14,rating_only,26.5,26.0,-0.5,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-41.17545109211776,-13.244301994301996,-16.716761633428302,0.0,-40.905761975544586,-13.353823090489756,-19.04634979620487,0.005952380952380952
14,rating_history,26.5,24.833333333333332,-1.6666666666666679,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,height_management,-41.17545109211776,-13.244301994301996,-16.716761633428302,0.0,-41.3327653961712,-13.565351851583735,-19.594552991292122,0.007575757575757576
15,control,26.666666666666668,27.833333333333332,1.1666666666666643,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,40,ordinary_practice,-38.53372236958444,-13.094836427939876,-16.38499557913351,0.006666666666666667,-37.24873187589212,-13.517274530993259,-18.383993439010343,0.00980392156862745
15,rating_only,26.666666666666668,27.833333333333332,1.1666666666666643,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,40,rating_tier_board,-38.53372236958444,-13.094836427939876,-16.38499557913351,0.006666666666666667,-37.24873187589212,-13.517274530993259,-18.383993439010343,0.00980392156862745
15,rating_history,26.666666666666668,26.333333333333332,-0.3333333333333357,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,surface_management,-38.53372236958444,-13.094836427939876,-16.38499557913351,0.006666666666666667,-39.84704664162997,-13.455122377622377,-20.42957459207459,0.006410256410256411
16,control,26.5,27.0,0.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-42.29479424550545,-13.629842547565248,-16.679551936994464,0.005208333333333333,-38.45705654498758,-13.494057092332955,-22.211618458170182,0.0
16,rating_only,26.5,24.833333333333332,-1.6666666666666679,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,rating_tier_board,-42.29479424550545,-13.629842547565248,-16.679551936994464,0.005208333333333333,-41.64145644478978,-12.902692091858759,-18.848772554605887,0.0
16,rating_history,26.5,28.833333333333332,2.333333333333332,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,40,height_management,-42.29479424550545,-13.629842547565248,-16.679551936994464,0.005208333333333333,-37.616525141525145,-13.072011322011322,-18.664574314574313,0.010606060606060607
17,control,25.5,29.833333333333332,4.333333333333332,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,ordinary_practice,-35.337750983584314,-13.15979005562339,-22.799959299959298,0.0,-34.46636036047303,-12.76689119597907,-17.927897086562965,0.010416666666666666
17,rating_only,25.5,29.0,3.5,0.0,0.5,0.5,1500.0,40,rating_tier_board,-35.337750983584314,-13.15979005562339,-22.799959299959298,0.0,-38.202213616000925,-13.194674007029171,-18.763963069881683,0.016537058371735792
17,rating_history,25.5,29.0,3.5,0.0,0.5,0.5,1500.0,40,height_management,-35.337750983584314,-13.15979005562339,-22.799959299959298,0.0,-38.35653460365525,-13.194674007029171,-18.67137047728909,0.016537058371735792
18,control,29.166666666666668,29.333333333333332,0.1666666666666643,0.3333333333333333,0.5,0.16666666666666669,1500.0,40,ordinary_practice,-38.6558862821766,-13.549431614532422,-16.358946521668297,0.010763888888888889,-37.15272525027809,-13.831625429391465,-17.735099208801472,0.01692552767821585
18,rating_only,29.166666666666668,26.0,-3.166666666666668,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,40,rating_tier_board,-38.6558862821766,-13.549431614532422,-16.358946521668297,0.010763888888888889,-38.66361416361416,-13.969398656898656,-20.606532356532355,0.006944444444444444
18,rating_history,29.166666666666668,25.333333333333332,-3.8333333333333357,0.3333333333333333,0.0,-0.3333333333333333,1500.0,40,surface_management,-38.6558862821766,-13.549431614532422,-16.358946521668297,0.010763888888888889,-42.54692760942761,-13.417708834375501,-18.67881192881193,0.0
19,control,25.833333333333332,26.5,0.6666666666666679,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,ordinary_practice,-36.799667862261565,-13.220304319942,-20.128747490316705,0.0,-40.091591502881826,-13.537766902551848,-19.78716778044735,0.012345679012345678
19,rating_only,25.833333333333332,24.666666666666668,-1.1666666666666643,0.0,0.0,0.0,1500.0,40,rating_tier_board,-36.799667862261565,-13.220304319942,-20.128747490316705,0.0,-37.32323954780851,-13.012307376531515,-20.736658456486044,0.0
19,rating_history,25.833333333333332,26.333333333333332,0.5,0.0,0.0,0.0,1500.0,40,height_management,-36.799667862261565,-13.220304319942,-20.128747490316705,0.0,-36.02941981390257,-13.042970120556328,-20.980206096585405,0.0
20,control,28.166666666666668,27.833333333333332,-0.3333333333333357,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-40.640424082090746,-13.170833333333334,-17.219903399070066,0.005555555555555556,-39.73909748829289,-13.307258407833121,-18.316164325244785,0.0
