replicate,condition,pre_primary,post_primary,improvement,pre_lines_cleared,post_lines_cleared,lines_improvement,pre_elo,training_steps,tutorial,pre_hole_avoidance,pre_stack_height_management,pre_surface_smoothness,pre_line_clearing_efficiency,post_hole_avoidance,post_stack_height_management,post_surface_smoothness,post_line_clearing_efficiency
8,control,28.0,26.833333333333332,-1.1666666666666679,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,ordinary_practice,-39.329898541151785,-13.840821039189597,-19.428007068255493,0.0,-38.47173388021089,-13.298231080328781,-18.92660387398893,0.005555555555555556
8,rating_only,28.0,26.333333333333332,-1.6666666666666679,0.0,0.0,0.0,1500.0,40,rating_tier_board,-39.329898541151785,-13.840821039189597,-19.428007068255493,0.0,-35.716182336182335,-13.391975308641975,-20.03553656220323,0.0
8,rating_history,28.0,27.333333333333332,-0.6666666666666679,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,surface_management,-39.329898541151785,-13.840821039189597,-19.428007068255493,0.0,-37.80552503052503,-13.425518925518926,-22.237515262515263,0.005952380952380952
9,control,28.333333333333332,27.833333333333332,-0.5,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,ordinary_practice,-37.09434089971997,-13.466287107075836,-18.951573766954635,0.006172839506172839,-34.74452654625068,-12.745992405582923,-19.112801039956214,0.005952380952380952
9,rating_only,28.333333333333332,27.5,-0.8333333333333321,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,rating_tier_board,-37.09434089971997,-13.466287107075836,-18.951573766954635,0.006172839506172839,-34.03787208959623,-12.604279951370469,-19.268707633362805,0.006410256410256411
9,rating_history,28.333333333333332,26.833333333333332,-1.5,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,hole_management,-37.09434089971997,-13.466287107075836,-18.951573766954635,0.006172839506172839,-38.14764448514448,-13.787532220865554,-21.31829127662461,0.005555555555555556
10,control,27.166666666666668,27.0,-0.16666666666666785,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-33.29933311287478,-13.013826058201058,-19.989123677248678,0.005208333333333333,-39.15034946236559,-13.265867895545314,-18.687681771633386,0.0
10,rating_only,27.166666666666668,27.5,0.33333333333333215,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,rating_tier_board,-33.29933311287478,-13.013826058201058,-19.989123677248678,0.005208333333333333,-40.21857142857143,-13.450833333333334,-17.87924603174603,0.0
10,rating_history,27.166666666666668,27.0,-0.16666666666666785,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,surface_management,-33.29933311287478,-13.013826058201058,-19.989123677248678,0.005208333333333333,-41.821572671156005,-13.824357301648968,-19.1707935660019,0.0
11,control,27.333333333333332,28.0,0.6666666666666679,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-37.21954010562706,-13.342945808887839,-22.415551689319805,0.005050505050505051,-38.89813458786811,-13.354090042729593,-16.967648226792686,0.0
11,rating_only,27.333333333333332,28.5,1.1666666666666679,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,rating_tier_board,-37.21954010562706,-13.342945808887839,-22.415551689319805,0.005050505050505051,-37.72857928336238,-13.371209135280326,-17.706579787095173,0.0
11,rating_history,27.333333333333332,29.0,1.6666666666666679,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,hole_management,-37.21954010562706,-13.342945808887839,-22.415551689319805,0.005050505050505051,-37.207635467980296,-13.160756362889984,-16.65026135741653,0.0
12,control,27.166666666666668,26.333333333333332,-0.8333333333333357,0.0,0.0,0.0,1500.0,40,ordinary_practice,-40.30276014109347,-14.066834215167548,-19.781358024691357,0.0,-34.919144316730524,-12.644525329927628,-21.006262626262625,0.0
